2024-02-09 15:15:57,800 INFO    MainThread:356972 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_setup.py:_flush():76] Configure stats pid to 356972
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_setup.py:_flush():76] Loading settings from /home/yanxindong/.config/wandb/settings
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_setup.py:_flush():76] Loading settings from /home/yanxindong/mkor/bert/wandb/settings
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'bert/run_pretraining.py', 'program_abspath': '/home/yanxindong/mkor/bert/run_pretraining.py', 'program': 'run_pretraining.py'}
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_init.py:_log_setup():526] Logging user logs to /home/yanxindong/mkor/bert/wandb/offline-run-20240209_151557-vkasfamu/logs/debug.log
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_init.py:_log_setup():527] Logging internal logs to /home/yanxindong/mkor/bert/wandb/offline-run-20240209_151557-vkasfamu/logs/debug-internal.log
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_init.py:init():566] calling init triggers
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_init.py:init():616] starting backend
2024-02-09 15:15:57,801 INFO    MainThread:356972 [wandb_init.py:init():620] setting up manager
2024-02-09 15:15:57,802 INFO    MainThread:356972 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-09 15:15:57,803 INFO    MainThread:356972 [wandb_init.py:init():628] backend started and connected
2024-02-09 15:15:57,805 INFO    MainThread:356972 [wandb_init.py:init():720] updated telemetry
2024-02-09 15:15:57,823 INFO    MainThread:356972 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-09 15:15:57,830 INFO    MainThread:356972 [wandb_init.py:init():804] starting run threads in backend
2024-02-09 15:16:00,695 INFO    MainThread:356972 [wandb_run.py:_console_start():2233] atexit reg
2024-02-09 15:16:00,696 INFO    MainThread:356972 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-09 15:16:00,696 INFO    MainThread:356972 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-09 15:16:00,697 INFO    MainThread:356972 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-09 15:16:00,698 INFO    MainThread:356972 [wandb_init.py:init():847] run started, returning control to user process
2024-02-09 16:43:52,418 WARNING MsgRouterThr:356972 [router.py:message_loop():77] message_loop has been closed
